Topic1,Topic2,Topic3,SubLine1,SubLine2,SubLine3,SubLine4,SubLine5
Fashion,,, Revamp your wardrobe with the latest fashion trends, Don't compromise on style - find affordable fashion options, Get ready to slay in the perfect party outfit, Fashion emergency? We've got you covered, Fall in love with our Valentine's Day fashion collection.
Auto,$ Discount,Valentines, Show Your Car Some Love with Valentine's Day Deals on Auto Repairs, Get Your Auto Valentine-Ready with Discounted Detailing Services, Celebrate Valentine's Day with $50 Discount on New Auto Parts, Fall in Love with Your Car Again: Auto Maintenance Packages on Discount, Auto Insurance Love: Get A Discounted Quote This Valentine's Day
Clearance,Gifts,Spring, Spring into Savings with our Clearance Sale, Last Chance for Spring Savings on Gifts, Clearance Alert: Great Gifts for Spring, Spring Clean Your Wallet with our Clearance Deals on Gifts, Clearance Sale for Spring Gifts - Limited Time Only
Auto,Clearance,Thanks Giving, Don't miss out on our Auto Clearance sale this Thanks Giving!, Thanks Giving deal: Auto Clearance extravaganza!, Auto Clearance sale this Thanks Giving - get the best deals of the year!, Celebrate Thanks Giving with an Auto Clearance sale, Start this Thanks Giving with a bang: Auto Clearance extravaganza!
Gift Cards,Deadline [X days/hours left],Dress, Last chance to get a gift card for the perfect dress - only X days/hours left!, Gift card alert: Shop for your dream dress before the deadline!, Hurry! Grab a gift card now and rock that dress you've always wanted!, Countdown to deadline: Get your hands on that gift card to buy your dream dress, Gift cards on sale until the deadline - shop now for your next favorite dress!
Units left [X units left],Christmas,Dress, Last chance: X units left of our Christmas dresses!, Get into the holiday spirit with our limited edition Christmas dresses!, Don't miss out on our festive Christmas dresses - only X units left!, Limited stock alert: X units remaining of our must-have Christmas dresses!, Get your Christmas wardrobe sorted with our dresses - only X units left.
Retail,Fall,Units left [X units left], Get your fall shopping done now and save - only X units left!, Last chance to buy these fall essentials at a discounted price, Limited stock alert: X units left of our most popular fall items, Don't miss out! X units left of our must-have fall collection, Score big discounts on our fall merchandise before it's too late - X units left
Points,Thanks Giving,Jeans, Earn Points and Save Big During Our Thanks Giving Sale on Jeans!, Limited Time Offer: Collect Extra Points on All Jeans This Thanks Giving!, Thanks Giving Savings: Get Huge Discounts on Designer Jeans with Points You Earned!, Ready for Thanks Giving? Grab High-Quality Jeans and Score Big Points for Your Next Purchase!, Points Galore! Get More Bonus Points With Every Jeans Purchase This Thanks Giving Season!
Travel,Gift Cards,Christmas, Treat your loved ones with the gift of travel this Christmas., Getaways made easy with our holiday gift cards., Give the gift of adventure with our travel gift cards., Make this Christmas unforgettable with a surprise trip using our gift cards., The best gifts this Christmas are experiences - give the gift of travel.
% Discount,Spring,Christmas., Spring into Savings with Our Extended % Discount., The Perfect Christmas Gift with Our % Discount Offer., Merry Christmas! Enjoy % Discount on Spring Collection., % Discount on Spring and Christmas Collection - Limited Time Only., Last Chance to Save % on Spring & Christmas Collections.
Clearance,BOGO,Thanks Giving, Clear out your closet and make room for BOGO deals this Thanks Giving!, Thanks Giving sale! Huge Clearance and BOGO offer you don't want to miss!, BOGO Flash Sale Alert! Enjoy clearance items this Thanks Giving, Thanks Giving Clearance Event: Get additional BOGO discounts on selected items!, It's raining discounts this Thanks Giving! Check out our BOGO and Clearance offers.
Gifts,Dollar Range [X$ - Y$],Spring, Spring into Savings: Amazing Gift Options From X$ - Y$," Thoughtful Gifts to Welcome Spring, All Under Y$", Unwrap Your Spring Joy with These Gifts Between X$ - Y$, Splurge on these Luxurious Spring Gifts With X$ Budget," Refresh Your Gift Ideas This Spring, with Amazing Options from X$ - Y$"
BOGO,,, [X Units left] - Grab your BOGO offer before it's gone!," Buy One, Get One free- Limited period offer!", Let's celebrate Valentine's day with BOGO offer, BOGO Sale - Stock up on your favorite products, Don't miss out on the BOGO offer! Order now.
Retail,Sports,[Brand Name], Get Your Game On with [Brand Name]: Exclusive Retail Discounts on Sports Gear, [Brand Name]: Your One-Stop Shop for Retail and Sports Products, Retail Therapy: Upgrade Your Fitness Game with [Brand Name] Sports Equipment, [Brand Name] Retail Sale: Score Big on Sports Gear Today!, From Retail to the Field: Step Up Your Game with [Brand Name] Sports Accessories.
Retargetting,Fall,[Brand Name]., [Brand Name]: Fall for Our Products All Over Again with Retargetted Ads! , Retarget Your Way to a Fashionable Fall with [Brand Name]! , Fall for [Brand Name] This Season with Our Retargetted Offers! , Get Ready for Fall with [Brand Name]'s Retargetted Deals! , Fall in Love with [Brand Name] (Again!) Thanks to Our Retargetting Strategies.
BOGO,Fall,[X item], Fall into savings with our BOGO offer on [X item], Limited Time Offer: BOGO on [X item] for Fall!, [X Item] BOGO deal to keep you cozy this Fall!, Upgrade your Fall wardrobe with our BOGO offer on [X item], Don't Miss Out: BOGO on [X item] to celebrate Fall!
Coupons,Black Friday,Yes, Black Friday deals + yes to coupons = savings you can't miss, Yes to saving big with coupons this Black Friday , Unlock exclusive coupons for Black Friday shopping ," The ultimate Black Friday hack: Coupons! Yes, it works ", Coupons that scream yes to Black Friday discounts
Abandoned Cart,BOGO,Deadline [X days/hours left], Last chance to grab BOGO offer before it ends!, Only X hours left to complete your purchase and avail BOGO!, Hurry up! BOGO offer ends in X days.," Unbeatable BOGO deal awaits you, complete your abandoned cart in time.", Still considering your purchase? Avail BOGO before it's gone!
Christmas.,,, [Limited Time Offer] Get your Christmas shopping done early with our exclusive collection., Gift-giving made easy this Christmas - discover our festive collection today!, Light up your Christmas with our unique decorations - shop now., Spread the holiday cheer with our Christmas cards and gifts - available now.," Yes, you can still get your hands on that must-have Christmas item - order today."
Domain,Gifts,Deadline [X days/hours left], Get a domain name and surprise yourself and your loved ones with amazing gifts!, Don't miss out on our exclusive Gift offer with any Domain purchase before the deadline!, Time's running out - Register a domain now and avail the limited time Gift offer!," A perfect gift for your website - Domain registration with exciting offers, deadline approaching!", Your last chance to buy a domain name and win amazing gifts within X days/hours!
Re-engagement,Back to School,Yes," Get Back to School with ""Yes"" on Re-engagement!"," Back to School Celebration: Re-engage with Confidence using ""Yes"""," Re-engage with our Back to School Special Offer - ""Yes"" for Success"," Rekindle your Interest this Back to School Season with ""Yes"""," Say ""Yes"" to Success this Back to School and Re-engage with Confidence"
Gift Cards,,, Don't Miss Out on Last-Minute Deals on Gift Cards!, Perfect Last-Minute Gift: Buy a Gift Card Today!, The Gift of Choice for Your Loved Ones: Gift Cards, Surprise Your Loved Ones with a Gift Card this Christmas, Christmas Gifts Made Easy with Our Gift Card Options
Dollar Range [X$ - Y$],Fall,Dress, You won't believe these Fall dresses for under X$!, Shop our Fall Dress Collection at Dollar Range [X$ - Y$], Get your wardrobe ready for Fall with our Dress Sale - Prices starting at X$, Upgrade your Fall wardrobe with affordable Dress picks between X$ - Y$, Don't break the bank this fall - Shop our Dress collection from X$ - Y$
Points,Summer,Back to School, Earn more points this summer for back-to-school shopping!, Beat the heat this summer with these cool point-earning Back-to-School deals, Tips for maximizing your points while shopping for summer fashion and back-to-school essentials, Spend your summer earning points and be ready for back-to-school, Countdown to back-to-school: earn points all summer for big savings this fall.
Retargeting,Spring,Back to School, Spring into action with our retargeting strategies for back to school season, Back to school shopping made easy with our retargeting techniques this Spring, Get ahead of the game by using our retargeting tactics for back to school shopping in Spring, How retargeting can help your Spring sales and back to school promotions, Transform your back to school campaigns this Spring with retargeting methods
Abandoned cart,Gift Cards,Winter., Winter Sale Extended - Use your Gift card and finish shopping with us., Abandoned Cart Alert! Don't forget to use your Gift card before it expires this Winter., Complete your Winter wardrobe with our Gift Cards and avail a discount on your Abandoned Cart., Last chance to Redeem your Gift card and grab the pieces left in your Abandoned cart before Winter Ends., Our Gift cards can be used to finish an Abandoned Cart on our Winter sale. Hurry!
Domain,Spring,Halloween., Get your Domain ready for Halloween this Spring!, Trick or treat! Domain deals to fall for this Spring, Spring into action and register your Halloween-inspired Domain, Scare up new Domain possibilities this Halloween (and Spring!)," New beginnings this Spring, new Domain for your Halloween business"
Travel,Re-engagement,Jeans, Don't hit snooze - it's time for a new adventure!, We miss you! Come back and travel with us again., Travel in style with these perfect jeans!," Get ready to explore again - new jeans, new journey!", Last call for amazing travel deals + the best jeans for your journey.
Fashion,$ Discount,Valentines, The Perfect Valentine's Gift for Her: Fashionable Styles and Discounts Inside!, Love Your Look and Your Wallet: Fashion Deals for Valentine's Day, Celebrate Love in Style with These Fashionable Finds and Exclusive Discount, Valentine's Day Sale Alert: Fashion-forward Styles and Reduced Prices!, Upgrade Your Valentine's Day Look with Trendy Fashion Picks and Reduced Prices!
Dollar Range [X$ - Y$],Deadline [X days/hours left],Back to School, Last chance to save big on Back to School deals - X$ - Y$ budget!, Final hours to shop Back to School items within your X$ - Y$ budget, Don't Miss Out on X$ - Y$ Budget Back to School Shopping Deals with Only X Days Left," Fast, Easy and Affordable Back to School Shopping in X days or less - X$ - Y$", Get Everything You Need within Your X$ - Y$ Budget Before Back to School Season Ends!
Sports,,, Game on! Join [Brand Name] for an epic sports event!, Get ready to sweat! [Brand Name] brings you a new fitness challenge , [Brand Name] invites you to a live streaming of a thrilling sports match , Score big with [Brand Name]: Exciting sports deals are waiting for you , Gear up for the best sports experience! Join [Brand Name] now
Travel,Points,Spring, Redeem your travel points this spring and explore new destinations!, Spring into travel with exciting deals and earn extra reward points.," New season, new adventures - travel more and earn more points this spring!", Get ready to explore the beauty of nature this spring with travel rewards points., Your next travel adventure is closer than you think - earn extra points this spring!
Fashion,New Launch,Jeans, Get ready for the latest fashion launch of the season!, Discover the new collection of jeans for a stylish look., Elevate your wardrobe with our new jeans arrivals.," Introducing the newest fashion launch, including trendy jeans.", Don't miss out on our exclusive new launch of jeans and other fashion items.
Units left [X units left],Thanks Giving,Yes, Don't Miss Out: Only X Units Left for Your Thanksgiving Celebration!, Score Big on Thanks Giving: X Units Left for a Memorable Experience!," Yes, We Still Have X Units Left for Your Dream Thanks Giving Celebration!", Reminder: X Units Left to Book Your Thanks Giving Celebration with Us!, Celebrate Thanks Giving with Confidence: X Units Are Still Available!
Travel,Clearance,Black Friday, Don't miss out: Crazy Black Friday travel deals and clearance sale!, Limited time offer: Save big on travel during our Black Friday clearance sale., Get your bags packed: Black Friday travel deals PLUS clearance savings!, Doorbuster deals on travel and clearance items - Black Friday sale starts NOW!, Celebrate Black Friday with spectacular savings on travel and clearance items.
Auto,Clearance,$ Discount., Save big on clearance auto parts - up to 50% off!, Limited time only: $ discount on all auto accessories!, Upgrade your ride with our discounted auto parts clearance sale., Don't miss out - clearance prices on all auto maintenance items., Last chance to snag discounted auto parts before they're gone!
Retargeting,Points,Christmas, Redeem your points for festive discounts on our last Retargeting campaign this Christmas!, Celebrate Christmas with extra savings by using your accumulated points on Retargeting deals. , Double your points and maximize your Retargeting results this Christmas season!, Your points have been rewarded! Get exclusive Retargeting offers this Christmas., Don't miss out on our special Christmas edition Retargeting deals. Use your points for extra savings.
Welcome,Gifts,[X item], Welcome to our family! Here's a special gift just for you., Celebrating your arrival with a personalized gift from us!, The best welcome gift you'll receive this year!, Get ready to be surprised! Your welcome gift is waiting., A warm welcome with a little something extra - [X item] from us.
Dollar Range [X$ - Y$],Fall,Christmas, Get Ready for Fall and Christmas - Save Money with our Dollar Range [X$ - Y$] Deals!, Holiday Shopping Made Easy - Dollar Range [X$ - Y$] Discounts for Fall and Christmas!, Make Your Budget Stretch with Our Dollar Range [X$ - Y$] Offer for Fall and Christmas!, Dollar Range [X$ - Y$] Savings for Fall and Christmas - Shop Now!, Fall and Christmas Spending Made Affordable - Check Out Our Dollar Range [X$ - Y$] Sale!
Retargeting,Summer,Black Friday, Don't miss out on our Summer Black Friday Sale - Retargeting Offer Inside!, How Retargeting Can Boost Your Black Friday Sales This Summer, Retargeting Tips for a Successful Black Friday Sale this Summer, The Ultimate Guide to Retargeting During Black Friday and Summer, Level Up Your Summer Black Friday Strategy with Retargeting
Fashion,Clearance,% Discount., Don't Miss Out! Huge Fashion Clearance Sale - Extra % Off!, Final Hours! Grab Fashion Pieces At Steal Deals Before Clearance Ends, Clearance Alert: Shop Fashion Accessories at Up to % Off Today, Exclusive Discount on Fashion Apparels for Clearance Sale, Fashion Frenzy: Extra % Discount on Clearance Sale. Shop Now!
Retail,Winter,Yes," Get your winter essentials from our retail store - Yes, you can!", Ready for winter? Shop the latest collection at our retail store," Yes, we are open - Shop hassle-free for winter at our retail outlet", Winter clearance sale happening now at our retail store - Don't miss it!, Say yes to a cozy winter - Shop at our retail store for the best deals.
Domain,% Discount,Fall, Fall into Savings on Domain Names with {var1}% Discount!, Domain Names on Sale this Fall - Save Up to {var1}%, Autumn Deals on Domain Names - Get {var1}% Off!, Last Chance to Save {var1}% on Domain Names this Season, Don't Miss Out on Our Fall Domain Sale - {var1}% Discount Available!
Valentines,Yes,Jeans.," ""Celebrate Valentine's Day with style - Say Yes to a new pair of Jeans!"""," ""Get ready for Valentine's Day - Shop for your favorite Jeans with amazing discounts."""," ""Jeans that say Yes to your curves. Perfect for Valentine's Day."""," ""Jeans: The perfect Valentine's Day gift for yourself or your loved one."""," ""Say Yes to comfort and style this Valentine's Day with our latest Jeans collection."""
Re-engagement,Gifts,Units left [X units left]," ⚡Claim your gift before it's gone and don't miss out on the remaining X units, [Name]!"," 🎁 Re-engage with us and get surprised with an exclusive gift, [Name]!"," 💝Comeback and grab your gift! Only X units left for the taking, [Name]."," 🙌[Name], you're not done yet- X units left to claim and receive your free gift!"," 🎉Celebrate with us! Re-engage and enjoy a special gift with X units left to avail, [Name]."
Abandoned cart,Fall,[X item], Don't leave your cart behind (& save on fall must-haves!), Your Fall favorites are waiting in your abandoned cart, [X item] still available in your cart for fall," We miss you [customer name], let's recover your cart when the leaves fall", Fall into savings: Complete your purchase for [X item] in your cart
Welcome,Sports,Yes," Welcome to the world of Sports! Yes, you are in the right place.", Yes! You are invited for an exclusive sports event. Welcome aboard!," Welcome, Sports lover! Say ""Yes"" to the exciting sports league."," Yes, you can be a pro in Sports. Welcome to the training program."," Welcome to the club of Sports enthusiasts. Say ""Yes"" to unlimited fun!"
Retargetting,Gifts,Winter, Don't let winter blues take over! Get warm with our gifts and retargeting tricks., Winter is coming! Stay top-of-mind with retargeting and gift-giving strategies., Warm up your engagement this winter with our retargeting tactics and gift ideas., Winter Wonderland: Make the most of retargeting and surprise your customers with gifts!," Retarget, repeat and reward this winter with our gift ideas and marketing hacks."
Auto,Gifts,[Brand Name], Drive in style and receive a gift with [Brand Name], The perfect gift for any auto enthusiast from [Brand Name], [Brand Name] has you covered for auto gifts this holiday season, Give the gift of luxury with [Brand Name]'s auto accessories, Elevate your driving experience with [Brand Name]'s premium auto gifts
Retargeting,Back to School,Dress, Don't Miss Out on Back to School Deals - Retargeted Just for You!, Dress to Impress: Retargeted Recommendations for Your Back to School Wardrobe!, Retargeted: Our Top Dress Picks for Back to School Season!, Back to School Shopping Made Easy - Thanks to Retargeting!, Going Back to School in Style - Our Retargeted Dress Selection Has You Covered!
Retail,New Launch,Thanks Giving, Don't miss our new thanksgiving launch for retail products, Celebrate this thanks giving with exciting new retail launches, New retail launches for a perfect thanksgiving gift, Get ready for our exciting new launches in retail this thanksgiving season, Make this thanks giving special with our new retail collection
Welcome,Coupons,Spring, Welcome to Spring! Use your exclusive coupons today., Spring into savings with these exclusive coupons - Welcome to our store!, Welcome to the season of savings - use these coupons for your Spring shopping!, Spring forward with these amazing coupons and a warm welcome from us!, Exclusive Spring coupons just for you - welcome to our store!
Fashion.,,, Get Ready to Walk the Ramp with Our Latest Fashion Collection!, Fashion Frenzy! Grab your favourites before they run out., Fall in Love with Our New Seasonal Fashion Collection., Welcome to the World of Fashion! Shop Now and Get Stylish., Latest Fashion Trends: Stay Ahead of the Game with Our Collection.
Auto,$ Discount,Fall, Fall into big savings! Get $X off your next Auto purchase., Don't miss out! Save $X on Auto this Fall., Limited time offer: Get $X off Auto purchases this Fall., Falling prices on Auto! $X discount available now., Auto savings just in time for Fall! $X off for a limited time.
Welcome,Points,Units left [X units left], Hey! Welcome to our loyalty program. X points left to redeem.," Thank you for being a part of our community, {var1}. Don't miss out on X units left.", Congratulations! You have X units left. Welcome to our rewards program.," {var1}, join our loyalty program today, and receive X points on us!"," Your loyalty points are on the way, {var1}. Hurry up, X units left to redeem!"
Retail,BOGO,[Brand Name]," Celebrate Savings with [Brand Name]: Buy One, Get One Free on All Retail Items", Shop Now at [Brand Name] and Get Flat 50% Off on BOGO Retail Sale, Don't Miss Out! [Brand Name]'s Exclusive BOGO Offer on Retail Products, Get Ready for Retail Therapy: BOGO Free Offer on [Brand Name]'s Latest Collection, Limited Time Offer: Shop Now at [Brand Name]'s Online Retail Store and Avail BOGO Deals
Clearance,Dollar Range [X$ - Y$],Winter, Winter Clearance Sale: Save Up To X$ - Y$!, It's Time to Shop! Winter Clearance Event X$ - Y$, Winter Must-Haves at Clearance Prices: Get X$ - Y$ off, Don't Miss Our Winter Dollar Range Clearance Sale, Beat the Cold with X$ - Y$ Winter Clearance Deals
Retail,Thanks Giving,[X item]," ""Get Ready for Thanksgiving with Our Exclusive Deals on [X item] in Our Retail Store!"""," ""Limited Time Offer: [X item] at Unbeatable Prices for Your Thanksgiving Shopping at Our Retail Outlet"""," ""Upgrade Your Thanksgiving Dinner with Our Premium [X item] Available at Our Retail Store"""," ""Shop for the Best Deals on [X item] During Our Thanksgiving Sale at Retail Store"""," ""Don't Miss Out on Our Thanksgiving Exclusive Deals on [X item] at Our Retail Outlet"""
Travel,Winter,Deadline [X days/hours left], Don't Hibernate this Winter. Plan your escape now. [Deadline approaching], Last chance to book your Winter Wonderland Trip! [X days left], Winter Travel Deal Alert! Book Now before the clock runs out. [Deadline approaching], Escape to the winter wonderland before it's too late! [X hours left], Plan a Winter Adventure That Doesn't Break the Bank! BOOK NOW! [Deadline X days left]
Winter,Thanks Giving,Yes," Yes, you can enjoy Winter with these amazing Thanks Giving holiday deals! ", Say yes to cozy Winter nights and Thanks Giving celebrations with us!, Winter is here and so is our Yes to amazing Thanks Giving discounts!, Thanks Giving fun for everyone: Winter activities and exciting Yes offers!, Bundle up this Winter with Yes to the best Thanks Giving deals and offers!
Travel,Abandoned Cart,Back to School, Don't Miss Out on Your Travel Plans - Complete Your Abandoned Cart Today!, Back to School Sale: Get Ready for Your Next Travel Adventure , Your Abandoned Cart is Here - Book Your Next Travel Now , Make the Most of Your Back to School Shopping - Plan Your Next Travel , Final Call - Complete Your Abandoned Cart and Book Your Next Travel Adventure.
Retail,Points,Halloween., Redeem your reward points this Halloween at our retail store!, Halloween deals that'll give you more points to shop!, Get double points on all Halloween retail purchases!, Spooky savings at our retail store this Halloween + bonus points for our loyal customers!, Treat yourself to some Halloween retail therapy and earn points while you shop!
New Launch,Fall,Valentine's, Fall in love with our New Launch in time for Valentine's Day, New Launch just in time for Fall and Valentine's Day, Celebrate Fall and Valentine's with our exciting New Launch, Get ready for Fall and Valentine's with our New Launch, Love is in the air with our New Launch this Fall season
Domain,Dollar Range [X$ - Y$],Deadline [X days/hours left]., Upgrade to premium domain service within your budget: [X$ - Y$] before [X days/hours left] , Claim your domain with amazing discounts: get [X$ - Y$] off before [X days/hours left] , Last chance to grab your preferred domain at the best price [X$ - Y$] before [X days/hours left] , Don't miss out on this domain deal: limited time offer [X days/hours left] , Secure your dream domain before it's too late: [X$ - Y$] deal available for [X days/hours left]
Retail,Clearance,Deadline [X days/hours left], Last chance to save big on clearance items! X hours/days left.," Hurry, time is running out! Clearing out our store inventory with X days/hours left.", Stock up now and save! Final clearance sale for retail products., Our best deals on clearance items yet! Don't miss out before the deadline in X days/hours., One final push for our clearance sale! Limited time left to grab amazing retail deals.
Points,Units left [X units left],Jeans, Redeem your points before they expire , Last chance to use your points before they expire , Shop now and earn more points , Keep track of points. X units left to redeem , Jeans on sale for a limited time. Redeem your points now.
BOGO,Deadline [X days/hours left],Jeans, Don't Miss Out! BOGO Offer Ends in [X days/hours] on Jeans., 2 for 1 Deal Ends Soon- Grab your favorite Jeans Today!, BOGO Offer Alert - Buy 1 Get 1 Discount on Jeans till [X days/hours left]., Jeans on BOGO - The Countdown is On! Hurry [X days/hours left]., Last Chance to Score BOGO Offer on Jeans - Expires in [X days/hours].
Retail.,,, Final Countdown! Only X hours left to get % discount on retail products., Retail Therapy: % discount offer on all products for a limited time., Don't Miss Out on our hottest retail deals – % discount on all products., Shop Now and Save Big with our % discount on retail products., Last Chance! % discount expires in X days on retail products.
Retail,New Launch,$ Discount., Shop now and save $ with our new launch discount!, Don't miss out on our exclusive discount for our new launch!, Get an exclusive $ discount on our latest retail launch!, The wait is over: new product launch + $ discount for you!, Your chance to save big on our new retail launch with $ discount!
Fall,Back to School,Dress, Unbe-leaf-able Styles for Your Fall Wardrobe, Get the Perfect Dress for Back to School Season , 10 Must-Have Fall Dresses to Up Your Style Game , From Campus to Coffee Shops: Dresses for Back to School and Beyond , Transition Your Summer Dresses to Fall with These Easy Tips
Travel,Retargetting,Dress, Unleash the best travel styles with our range of dresses - Retargeting Exclusive!, Travel in style: Dress to impress this season., You've seen it before but can't resist again - Travel in style with our dresses through Retargeting ads!, Be on top of your travel fashion game with our dress collection - Retargeting made it easy., Complete your travel wardrobe with our elegant dresses - Retargeting you for good!
% Discount,Black Friday,Dress, Huge discounts on dresses this Black Friday, Black Friday sale: Extra % discount on dresses, Get your dream dress at a discounted price this Black Friday, Limited time offer: Up to % off on Black Friday dress collection, Last chance to grab Black Friday deal on dresses with % discount
Gifts,Winter,[Brand Name], The Perfect Winter Gifts for Everyone from [Brand Name], The Best [Brand Name] Gifts to Keep Your Loved Ones Warm this Winter , Get Ready for Winter Gifting with [Brand Name]'s Collection , Discover Thoughtful Winter Gifts from [Brand Name] , Winter is Coming! Shop [Brand Name] Gifts for Your Family & Friends Now
% Discount,Valentines,Yes, Yes! A Valentine's Day % discount just for you., Love is in the air with our special % discount for Valentines., Say yes to savings with our limited-time % discount on Valentine's Day gifts., Treat yourself and your loved one with a sweet % discount this Valentine's Day., Don't miss out on our Valentine's Day offer - % discount on all items.
Auto,Abandoned Cart,Sports., Drive your abandoned cart home with exclusive sports gear available for Auto enthusiasts!, Get ready to break a sweat with our top-rated sports equipment and boost your Auto game, Complete your Auto kit with must-have sports accessories now!, Unleash the sportsman in you with our Auto gears and save big on every purchase. , Auto meets sports: Shop now for exclusive discounts on your next purchase!
Clearance,BOGO,and Spring, Spring is here with amazing deals: BOGO and Clearance., Don't miss out on these deals: Clearance & BOGO on Spring items., Spring savings just got better: Clearance and Buy One Get One deals., Time to refresh your wardrobe with Clearance and BOGO on Spring collection., Last chance to stock up on Spring essentials with Clearance and BOGO deals.
Auto,Retargeting,BOGO, Don't miss out: BOGO Auto deals only for our Retargeted customers, Revive your interest with Retargeting and get 50% off on Auto deals, Auto clearance sale: Buy One Get One FREE for Retargeted customers, Rev up your savings with BOGO and Retargeting on Auto products, Limited time offer: Grab your Retargeted Auto deal with BOGO
Fashion,% Discount,[X item], Get [X item] at slashed prices: Fashion Sale with up to [% Discount] off, Hurry! [X item] at unbeatable prices in our latest Fashion Collection, Greet the season in style with [% Discount] off on all Fashion merchandise, Steal the limelight with [X item] from our Fashion collection at up to [% Discount] off, Upgrade your wardrobe with limited time offers on [X item] from our Fashion lineup
Re-engagement,Black Friday,Dress, Get back in style with our Black Friday Dress Collection, Your last chance to grab Black Friday deals on Dresses, Don't miss out on our exclusive Black Friday offers for Dresses you love, Rediscover fashion with our Dress collection this Black Friday , Reconnect with us & enjoy enticing deals on Black Friday Dresses
% Discount,Fall,Valentines, Fall into Savings with Our Valentine's Day % Discount!, Share the Love: Get % Discount on Fall and Valentines Collection!, Valentine's Day is Here: Avail % Discount on Your Fall Orders!, % Discount Offer on Fall and Valentine's day Collections!, Stock Up for Fall and Valentines: Enjoy % Discount on Everything!
Gifts,Christmas,[Brand Name], Get Festive with [Brand Name]'s Christmas Gifts, Make their Christmas Special with [Brand Name]'s Amazing Gifts, Spread Cheer with the Perfect Christmas Gifts from [Brand Name], Find the Best Christmas Gifts at [Brand Name] - Shop Now!, Give the Gift of Joy this Christmas with [Brand Name]
Travel,Retargetting,Christmas, Book your dream vacation this Christmas with our retargeting offers., Unlock the best travel deals of the season with our retargeting strategy., Christmas travel made affordable - our retargeting campaign brings you unbeatable offers., Get ready for an amazing getaway with our Christmas retargeting deals on travel., Limited time travel offers this Christmas - you won't believe our retargeting specials.
Re-engagement,Valentines,Yes, Say Yes to Rekindling Love this Valentine's Day, Re-engage in Love: Celebrate Valentine's Day with Us, Valentine's Day Exclusive: Say Yes to Giving Love a Second Chance, Rekindle Your Love this Valentine's Day - Say Yes to Us," Yes, You Can Fall in Love Again: Join Us for a Special Valentine's Day Re-engagement Event"
Retail,Re-engagement,Thanks Giving, Come back to Retail & enjoy a Thanksgiving discount on us!, Let's reconnect this Thanksgiving & relish exciting Retail offers!, Retail rekindled: Let's catch up & give thanks for our valued customers!, It's time to celebrate the season of Thanks & Retail with a special offer!, Renew your Retail spirit & enjoy a Thankful discount as a token of appreciation!
Retargetting,Dollar Range [X$ - Y$],Winter, Don't Miss Out on our Winter Deals - Retargeted Just For You!  , Targeting You With Our Winter Savings In The [$X-$Y] Range   , Retargeting Winter Shoppers: Save Big On Our Latest [$X-$Y] Range  , Personalized Just For You: Winter Products in Between [$X-$Y]  , Retargeted Winter Specials: Get the Best Deals on [$X-$Y] Range
Auto,Coupons,Dollar Range [X$ - Y$], Don't miss out on our exclusive Auto savings coupons!, Save big on your next Auto service with our X$ - Y$ discount range., Get your dream car with our Auto financing options and coupons inside!, Upgrade your ride with our special Auto offers (X$ - Y$) + coupons., Special offer: Auto services at a discounted rate (X$ - Y$) + coupons.
Dollar Range [X$ - Y$],Units left [X units left],[Brand Name], Last chance to buy [Brand Name] with [X units left] in [X$ - Y$] range!, Don't miss out on [Brand Name] for [X$ - Y$] range with only [X units left]!, [X units left] of [Brand Name] in [X$ - Y$] range are waiting for you!, [Brand Name] in [X$ - Y$] range is almost sold out! [X units left] only!, Only [X units left]! Get [Brand Name] in [X$ - Y$] range before it's too late!
Abandoned Cart.,,, Reminder: Your Abandoned Cart Is Waiting For You!, Don't Miss Out! Last X Hours to Complete Your Order and Get Discount on Abandoned Cart., Need New Jeans? Grab Them Now From Your Abandoned Cart and Get 10% Off., Your Abandoned Cart: Do You Still Want to Say No to These Trendy Jeans?, Final Notice: Your X-day Abandoned Cart Is Expiring. Don't Let It Slip Away.
Clearance,$ Discount,Sports., Don't Miss the Chance to Save Big on Sports Clearance!, Score Big with Our Sports Clearance Sale & $ Discounts!, Final Markdowns on Sports Clearance- Grab Them Now!, Hurry! Sports Clearance Sale Ends Soon with $ Discounts!, Gear Up for the Season with $ Discounts & Sports Clearance Items.
Welcome,[Brand Name],Dress, Welcome to [Brand Name]: Your Perfect Dress Awaits!, Get Ready to Look Your Best: Save on [Brand Name] Dresses, New Collection Alert: Discover Stunning Dresses from [Brand Name], Make a Statement with Our Top [Brand Name] Dress Picks, Welcome to [Brand Name]: Find Your Dream Dress Today!
Re-engagement,Fall,Valentines., Fall in love with our products again this Valentine's season!, Celebrate this Fall season by re-engaging with us!, Rekindle your love for our brand this Valentine's Day!, Fall in love with our new offers and re-engage with us!," Don't let Fall pass us by, re-engage with our brand this season."
Welcome,Back to School,Yes," Yes, you're Back to School! Welcome to a new school year!", Back to School with a big Yes! Welcome to the new academic year!," Welcome to School and Yes, get ready to win the academic game!"," Yes, you made it! Welcome to the Back to School hustle!", Welcome Back to School with a Yes that brings new opportunities!
Coupons,Deadline [X days/hours left],Sports, Last chance to redeem your sports coupon - [X hours/days left], Get your sportswear with a discount now - limited time offer!, Use this coupon to get discounts on your sports gear before the deadline, Exclusive deal: Sports apparel coupons ending soon!, Sports fans! Don't miss out on coupons ending [X days/hours] from now
